County,District Name,District Type,Grade Levels,"Number of Schools
(2021-22)",High School Partner District if Elementary,Total # of Jurisdictions Per School District,"Jurisdiction Name
(list on separate line for each jurisdiction)","Student Enrollment 
(2021-22)","# of Certificated Teachers
(2018-19)","Expense of Education per ADA 
(2020-21)","% Unduplicated 
(2021-22)","% FRM 
(2021-22)","% English Learners 
(2021-22)","Total GO Bonds and Parcel Taxes Attempted 
(2000 - 2029)","Total GO Bonds and Parcel Taxes Passed 
(2000 - 2029)","Most Recent Passed GO Bond Measure Year
(2000-2029) ","Total Amount of GO Bond Measure Funding ($)
(2000-2029)",Average CalEnviroScreen Pollution Burden,Average Cal EnviroScreen Percentile,"Green Ribbon District
1 (Yes) 0 (No)",Green Ribbon Highest District Level Achievement,"Green Ribbon for Individual Schools within District
1 (Yes) 0 (No)",Board Policies Link,"Policies List 
(enter a separate line for each)","BP: 3510 Green Schools Operations 
1 (Yes) 0 (No)",BP: 3510 Year Adopted,BP: 3510 Most Recent Update/Revision,"BP: 3511 Energy And Water Management 
1 (Yes) 0 (No)",BP: 3511 Year Adopted ,BP: 3511 Most Recent Update/Revision,"BP: 3511.1 Integrated Waste Management
1 (Yes) 0 (No)",BP: 3511.1 Year Adopted,BP: 3511.1 Most Recent Update/Revision,"BP: 3514 Environmental Safety
1 (Yes) 0 (No)",BP: 3514 Year Adopted,BP: 3514 Most Recent Update/Revision,"BP: 3514.1 Hazardous Substances
1 (Yes) 0 (No)",BP: 3514.1 Year Adopted,BP: 3514.1 Most Recent Update/Revision,"BP: 6142.5 Environmental Education
1 (Yes) 0 (No)",BP: 6142.5 Year Adopted,BP: 6142.5 Most Recent Update/Revision,"BP:7110 Facilities Master Plan
1 (Yes) 0 (No)",BP:7110 Year Adopted,BP: 7110 Most Recent Update/Revision,Total Approved Policies,"Published Facilities Master Plan
1 (Yes) 0 (No)",FMP Year Adopted,FMP Year Most Recent Revision/Update,FMP Link,"Climate Change Resolutions / Climate Emergency Declarations
1 (Yes) 0 (No)","Climate Change Resolutions / Climate Emergency Declarations 
Year Adopted ","Climate Change Resolutions / Climate Emergency Declarations
Most Recent Update/Revision","Climate Change Resolutions / Climate Emergency Declarations
Notes","Other Board Policies, Resolutions, and Declarations 
(list each as a hyperlink and on a separate line)","District-Wide Sustainability Initiatives
1 (Yes) 0 (No)","District-Wide Evidence of Campus Sustainability
1 (Yes) 0 (No)","District-Wide Evidence of Environmental Literacy Curriculum
1 (Yes) 0 (No)","District-Wide Evidence of Community and Culture Sustainability
1 (Yes) 0 (No)","District-Wide Sustainability Website
1 (Yes) 0 (No)","Sustainability Initiatives Notes
(District and Site-Level)","District-Wide Sustainability Staff
1 (Yes) 0 (No)","District-Wide Campus Sustainability Related Job
1 (Yes) 0 (No)","District-Wide Environmental Literacy Curriculum and Community and Culture Related Job
1 (Yes) 0 (No)","Site-Level Environmental Literacy Curriculum and Community and Culture Related Job 
1 (Yes) 0 (No)","Sustainability Staff Notes
(District and Site-Level)"
Solano,Benicia Unified,Unified School District,K-12,8,N/A,1,Benecia,"4,364",223,"$14,237",25.5 %,27.34 %,*,4,1,2014,"49,800,000",33.7441,30.07,0,N/A,0,Benicia BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2011,2022,1,2019,2022,1,2012,2022,1,2019,2022,1,2022,2022,1,2007,2022,1,1996,2022,7,1,2016,*,Benicia FMP,,,,,,0,0,0,0,0,A group of kids won a forestry challenge at a high school in 2016: Forestry challenge Article,0,0,0,0,N/A
Solano,Dixon Unified,Unified School District,K-12,8,N/A,1,Dixon,"3,439",194,"$15,139",48.34 %,36.4 %,20.8 %,3,2,2016,"59,600,000",48.5371,73.43,0,N/A,0,Dixon BP,"
3511
3511.1
3514
3514.1
6142.5
7110",0,N/A,N/A,1,2016,2016,1,2016,2021,1,2018,2018,1,2018,2018,1,2016,2021,1,2016,2023,6,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,"There's evidence of a partnership with an organization called Safe Routes to School:
Safe routes evidence",0,0,0,0,N/A
Solano,Fairfield-Suisun Unified,Unified School District,K-12,30,N/A,3,"Fairfield
Suisun
Suisun City","20,715",974,"$14,647",53.68 %,40.4 %,15 %,3,2,2016,"349,000,000",32.8678,27.31,1,Silver,1,Fairfield BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2012,2019,1,1995,2019,1,2012,2021,1,2012,2019,1,2012,2018,1,2016,2021,1,1996,2022,7,1,2016,2019,Fairfield FMP,,,,,,1,1,1,1,1,"Green Ribbon School helps spread sustainability practices on a tour: GR School Tour,
Site level Exploration of ecosystems summer camp: https://www.fsusd.org/article/1157311,
Details of energy conservation / waste plan:  Energy Plan,
Facilities Master Plan: FMP",0,0,0,0,N/A
Solano,Travis Unified,Unified School District,K-12,10,N/A,3,"Vacaville
Fairfield
Travis AFB","5,266",266,"$14,051",43.37 %,42.4 %,3.1 %,1,0,N/A,N/A,35.6635,37.27,0,N/A,0,Travis BP,"3510
3511
3514
3514.1
6142.5
7110",1,2013,2019,1,2019,2019,0,N/A,N/A,1,2007,2018,1,2013,2018,1,2007,2021,1,2007,2022,6,0,N/A,N/A,N/A,,,,,,1,1,1,1,1,"New Course Proposal: AP Human Geography,
Proposed budget mentions sustainability: Budget,
Bond measures mention Conservation: Bond Measure,
Resource Management,
Earth Day,
Award Winning Garden",0,0,0,0,N/A
Solano,Vacaville Unified,Unified School District,K-12,19,N/A,1,Vacaville,"13,074",672,"$14,608",37.07 %,39.4 %,7.8 %,3,2,2014,"295,300,000",26.8353,11.9,0,N/A,0,Vacaville BP,"3510
3511
3514
3514.1
6142.5
7110",1,2010,*,1,2005,2007,0,N/A,N/A,1,2008,*,1,2005,*,1,2005,2008,1,2005,*,6,0,N/A,N/A,N/A,,,,,,1,1,0,1,1,"Vacaville School District Sustainability Website,
Water Testing",0,0,0,0,N/A
Solano,Vallejo City Unified,Unified School District,K-12,25,N/A,1,Vallejo,"12,717",613,"$20,978",64.41 %,68.4 %,22.1 %,2,1,2018,"194,000,000",37.962,44.83,0,N/A,0,Vallejo BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",0,N/A,N/A,1,2011,2011,1,2012,2021,1,2019,2019,1,2019,2019,1,2021,2021,1,1996,2022,6,1,2019,*,Vallejo FMP,,,,,,1,1,1,1,0,"School Gardens, 
Environmental Academy, 
E-waste procedures",1,1,0,0,"Cimate Control Coordinator, Energy Conservation Coordinator"
