County,District Name,District Type,Grade Levels,"Number of Schools
(2021-22)",High School Partner District if Elementary,Total # of Jurisdictions Per School District,"Jurisdiction Name
(list on separate line for each jurisdiction)","Student Enrollment 
(2021-22)","# of Certificated Teachers
(2018-19)","Expense of Education per ADA 
(2020-21)","% Unduplicated 
(2021-22)","% FRM 
(2021-22)","% English Learners 
(2021-22)","Total GO Bonds and Parcel Taxes Attempted 
(2000 - 2029)","Total GO Bonds and Parcel Taxes Passed 
(2000 - 2029)","Most Recent Passed GO Bond Measure Year
(2000-2029) ","Total Amount of GO Bond Measure Funding ($)
(2000-2029)",Average CalEnviroScreen Pollution Burden,Average Cal EnviroScreen Percentile,"Green Ribbon District
1 (Yes) 0 (No)",Green Ribbon Highest District Level Achievement,"Green Ribbon for Individual Schools within District
1 (Yes) 0 (No)",Board Policies Link,"Policies List 
(enter a separate line for each)","BP: 3510 Green Schools Operations 
1 (Yes) 0 (No)",BP: 3510 Year Adopted,BP: 3510 Most Recent Update/Revision,"BP: 3511 Energy And Water Management 
1 (Yes) 0 (No)",BP: 3511 Year Adopted ,BP: 3511 Most Recent Update/Revision,"BP: 3511.1 Integrated Waste Management
1 (Yes) 0 (No)",BP: 3511.1 Year Adopted,BP: 3511.1 Most Recent Update/Revision,"BP: 3514 Environmental Safety
1 (Yes) 0 (No)",BP: 3514 Year Adopted,BP: 3514 Most Recent Update/Revision,"BP: 3514.1 Hazardous Substances
1 (Yes) 0 (No)",BP: 3514.1 Year Adopted,BP: 3514.1 Most Recent Update/Revision,"BP: 6142.5 Environmental Education
1 (Yes) 0 (No)",BP: 6142.5 Year Adopted,BP: 6142.5 Most Recent Update/Revision,"BP:7110 Facilities Master Plan
1 (Yes) 0 (No)",BP:7110 Year Adopted,BP: 7110 Most Recent Update/Revision,Total Approved Policies,"Published Facilities Master Plan
1 (Yes) 0 (No)",FMP Year Adopted,FMP Year Most Recent Revision/Update,FMP Link,"Climate Change Resolutions / Climate Emergency Declarations
1 (Yes) 0 (No)","Climate Change Resolutions / Climate Emergency Declarations 
Year Adopted ","Climate Change Resolutions / Climate Emergency Declarations
Most Recent Update/Revision","Climate Change Resolutions / Climate Emergency Declarations
Notes","Other Board Policies, Resolutions, and Declarations 
(list each as a hyperlink and on a separate line)","District-Wide Sustainability Initiatives
1 (Yes) 0 (No)","District-Wide Evidence of Campus Sustainability
1 (Yes) 0 (No)","District-Wide Evidence of Environmental Literacy Curriculum
1 (Yes) 0 (No)","District-Wide Evidence of Community and Culture Sustainability
1 (Yes) 0 (No)","District-Wide Sustainability Website
1 (Yes) 0 (No)","Sustainability Initiatives Notes
(District and Site-Level)","District-Wide Sustainability Staff
1 (Yes) 0 (No)","District-Wide Campus Sustainability Related Job
1 (Yes) 0 (No)","District-Wide Environmental Literacy Curriculum and Community and Culture Related Job
1 (Yes) 0 (No)","Site-Level Environmental Literacy Curriculum and Community and Culture Related Job 
1 (Yes) 0 (No)","Sustainability Staff Notes
(District and Site-Level)"
San Joaquin,Stockton Unified,Unified School District,TK-12,68,N/A,1,Stockton,"39,803","1,732","$20,943",72.41 %,79.2 %,24.1 %,6,6,2018,"$1,090,880,000.00",51.1939,81,0,N/A,0,Stockton Unified School District BPs,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2009,2019,1,2001,2019,1,2001,2019,1,2001,2019,1,1997,2019,1,1990,2020,1,1996,2019,7,0,N/A,N/A,N/A,,,,,,1,1,1,1,1,"Career Pathway for Agriscience at Stagg HS,
Energy Education Site,
Various gardening clubs throughout district,
Electric school bus project article",0,0,0,0,N/A
San Joaquin,Lodi Unified,Unified School District,K-12,54,N/A,5,"Stockton
Lodi
Acampo
Lockeford
Victor","30,727","1,614","$18,601",63.4 %,65.3 %,20.2 %,4,3,2016,"$390,400,000.00",41.4561,54.15,0,N/A,0,Lodi Unified BPs,"
3514
3514.1
7110",0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,1,1997,2013,1,2013,2015,0,N/A,N/A,1,1991,1998,3,1,2016,*,Lodi Unified FMP,,,,,,1,1,1,1,0,"District Wide Air Quality Manual 2016,
District Wide Nutrition Education 22-23,
Natural Gas Fueling Station Installation Project,
solar energy engineering and construction project",0,0,0,0,N/A
San Joaquin,Manteca Unified,Unified School District,K-12,29,N/A,4,"Stockton
Manteca
French Camp
Lathrop
","24,154","1,093","$15,624",61.74 %,52.9 %,22.1 %,5,3,*,*,50.4814,79.06,0,N/A,0,Manteca Unified School District BPs,"3510
3511
3514
3511.1",1,2016,*,1,2016,*,0,N/A,N/A,1,2016,*,1,2016,*,0,N/A,N/A,0,N/A,N/A,4,0,N/A,N/A,N/A,,,,,,1,1,1,1,0,"Agriculture career pathways,
Green House Club,
Manteca RECA bridges the gap between environmental awareness and action,
eco-friendly classrooms at Manteca High School",0,0,0,0,"Victoria Brunn, Energy Education Specialist 2010"
San Joaquin,Tracy Joint Unified,Unified School District,K-12,23,N/A,1,Tracy,"15,398",729,"$15,391",52.24 %,47.9 %,24.9 %,6,3,2006,"$51,000,000.00",39.263,48.34,0,N/A,0,Tracy Joint Unified BPs,"
3511
3514
6142.5
7110",0,N/A,N/A,1,2010,*,0,N/A,N/A,1,2004,*,0,N/A,N/A,1,1997,*,1,1998,*,4,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,"Ag Science Academy,
Jaime Quintana Finds Energy Savings for Tracy Unified",0,0,0,0,N/A
San Joaquin,Lincoln Unified,Unified School District,K-12,14,N/A,1,Stockton,"8,967",442,"$15,475",57.54 %,55.5 %,12.1 %,2,2,2012,"$98,500,000.00",45.0943,65.22,0,N/A,0,Lincoln Unified BPs,"
3510
3514
3514.1",1,2004,*,0,N/A,N/A,0,N/A,N/A,1,2004,*,1,2004,*,0,N/A,N/A,0,N/A,N/A,3,0,N/A,N/A,N/A,,,,,,1,0,1,1,1,"Outdoor education website,
Stockton Safe Routes to School",1,1,1,1,Tamara Basepayne Environmental Literacy
San Joaquin,Lammersville Joint Unified,Unified School District,K-12,8,N/A,2,"Mountain House
Tracy","6,980",256,"$11,562",21.48 %,11 %,12.7 %,1,1,2016,"$56,000,000.00",56.6774,90.87,0,N/A,0,Lammersville Joint Unified BPs,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2019,*,1,2019,*,1,2021,*,1,2018,*,1,2008,2018,1,2021,*,1,2008,*,7,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Joaquin,New Jerusalem Elementary,Elementary School District,K-12,12,N/A,4,"Stockton
Simi Valley
Tracy
Modesto","6,670",400,"$224,382",0.23 %,56.3 %,10.6 %,1,0,N/A,N/A,52.6756,83.39,0,N/A,0,New Jerusalem Elementary BPs," 3510
3511
3514
3514.1
7110",1,2019,*,1,2019,*,0,N/A,N/A,1,2018,*,1,2018,*,0,N/A,N/A,1,2016,*,5,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Joaquin,Ripon Unified,Unified School District,K-12,8,N/A,1,Ripon,"4,980",369,"$13,507",23.07 %,34.2 %,8.9 %,3,2,2012,"$35,236,190.00",54.3407,86.99,0,N/A,0,Ripon Unified BPs,"3510
3511
3511.1
3514
3514.1
7110",1,2012,*,1,2011,*,1,2012,*,1,2015,*,1,2013,*,0,N/A,N/A,1,2012,*,6,1,2021,*,Ripon Unified FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Joaquin,Escalon Unified,Unified School District,K-12,8,N/A,3,"Stockton
Escalon
Farmington","2,906",142,"$15,099",44.97 %,44.7 %,16.3 %,3,2,2012,"$27,000,000.00",53.5547,85.33,0,N/A,0,Escalon Unified BPs,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2019,*,1,2019,*,1,2013,2021,1,2018,*,1,2018,*,1,2007,*,1,2013,*,7,1,2020,*,Escalon Unified FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Joaquin,Linden Unified,Unified School District,K-12,6,N/A,2,"Stockton
Linden","2,339",106,"$15,108",56.99 %,50.2 %,24.7 %,3,1,2002,"$11,500,000.00",48.6417,73.52,0,N/A,0,Linden Unified BPs,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2017,2019,1,2017,2019,1,2017,2021,1,2018,*,1,2012,2018,1,2017,2021,1,1991,2022,7,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
