County,District Name,District Type,Grade Levels,"Number of Schools
(2021-22)",High School Partner District if Elementary,Total # of Jurisdictions Per School District,"Jurisdiction Name
(list on separate line for each jurisdiction)","Student Enrollment 
(2021-22)","# of Certificated Teachers
(2018-19)","Expense of Education per ADA 
(2020-21)","% Unduplicated 
(2021-22)","% FRM 
(2021-22)","% English Learners 
(2021-22)","Total GO Bonds and Parcel Taxes Attempted 
(2000 - 2029)","Total GO Bonds and Parcel Taxes Passed 
(2000 - 2029)","Most Recent Passed GO Bond Measure Year
(2000-2029) ","Total Amount of GO Bond Measure Funding ($)
(2000-2029)",Average CalEnviroScreen Pollution Burden,Average Cal EnviroScreen Percentile,"Green Ribbon District
1 (Yes) 0 (No)",Green Ribbon Highest District Level Achievement,"Green Ribbon for Individual Schools within District
1 (Yes) 0 (No)",Board Policies Link,"Policies List 
(enter a separate line for each)","BP: 3510 Green Schools Operations 
1 (Yes) 0 (No)",BP: 3510 Year Adopted,BP: 3510 Most Recent Update/Revision,"BP: 3511 Energy And Water Management 
1 (Yes) 0 (No)",BP: 3511 Year Adopted ,BP: 3511 Most Recent Update/Revision,"BP: 3511.1 Integrated Waste Management
1 (Yes) 0 (No)",BP: 3511.1 Year Adopted,BP: 3511.1 Most Recent Update/Revision,"BP: 3514 Environmental Safety
1 (Yes) 0 (No)",BP: 3514 Year Adopted,BP: 3514 Most Recent Update/Revision,"BP: 3514.1 Hazardous Substances
1 (Yes) 0 (No)",BP: 3514.1 Year Adopted,BP: 3514.1 Most Recent Update/Revision,"BP: 6142.5 Environmental Education
1 (Yes) 0 (No)",BP: 6142.5 Year Adopted,BP: 6142.5 Most Recent Update/Revision,"BP:7110 Facilities Master Plan
1 (Yes) 0 (No)",BP:7110 Year Adopted,BP: 7110 Most Recent Update/Revision,Total Approved Policies,"Published Facilities Master Plan
1 (Yes) 0 (No)",FMP Year Adopted,FMP Year Most Recent Revision/Update,FMP Link,"Climate Change Resolutions / Climate Emergency Declarations
1 (Yes) 0 (No)","Climate Change Resolutions / Climate Emergency Declarations 
Year Adopted ","Climate Change Resolutions / Climate Emergency Declarations
Most Recent Update/Revision","Climate Change Resolutions / Climate Emergency Declarations
Notes","Other Board Policies, Resolutions, and Declarations 
(list each as a hyperlink and on a separate line)","District-Wide Sustainability Initiatives
1 (Yes) 0 (No)","District-Wide Evidence of Campus Sustainability
1 (Yes) 0 (No)","District-Wide Evidence of Environmental Literacy Curriculum
1 (Yes) 0 (No)","District-Wide Evidence of Community and Culture Sustainability
1 (Yes) 0 (No)","District-Wide Sustainability Website
1 (Yes) 0 (No)","Sustainability Initiatives Notes
(District and Site-Level)","District-Wide Sustainability Staff
1 (Yes) 0 (No)","District-Wide Campus Sustainability Related Job
1 (Yes) 0 (No)","District-Wide Environmental Literacy Curriculum and Community and Culture Related Job
1 (Yes) 0 (No)","Site-Level Environmental Literacy Curriculum and Community and Culture Related Job 
1 (Yes) 0 (No)","Sustainability Staff Notes
(District and Site-Level)"
San Diego,Encinitas Union Elementary,Elementary School District, K-06,9,N/A,2,"Carlsbad
Encinitas","4,813",256,"$16,514",20.84%,18.7 %,9.40%,1,1,2010,"44,200,000",32.967,28,1,Green,0,Encinitas BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2011,2019,1,2010,2019,1,2010,2021,1,2010,2010,1,2010,2014,1,2010,2021,1,2010,2022,7,0,N/A,N/A,N/A,,,,,,1,1,1,1,1,"Green Schools Award,
Farm Lab,
Child Nutrition Services collaborates with the Farm Lab",1,1,1,1,"On Green Iniatives Page there is an email address for a Green Team,
Director of Facilities and Safety has energy management and utilities conservation in job description,
Coordinator of Innovation and Farm Lab Development,
Teacher on Special Assignment - Farm Lab"
San Diego,Escondido Union,Elementary School District,K-08,26,N/A,1,Escondido,"17,224",1059,"$19,319",64.76 %,60.3 %,33.1 %,3,2,2014,"228,400,000",36.9711,42,0,N/A,0,Escondido BP,"3511
3511.1
3514
3514.1
7110",0,N/A,N/A,1,2003,2020,1,2003,2022,1,2003,2018,1,1989,2018,0,N/A,N/A,1,2003,2022,5,1,2020,*,Escondido FMP,,,,,,0,1,0,0,1,Escondido Union School District Energy Efficiency & Sustainability Website,1,1,0,0,Francis Spoonemore (Director of M&O) is quoted on the energy efficiency and sustainability page
San Diego,Escondido Union High,High School District,06-12,8,N/A,1,Escondido,"9,458",472,"$20,263",60.16 %,66.4 %,17.2 %,1,1,2008,"98,000,000",36.1891,39,0,N/A,0,Escondido Union High BP,"3511
3514
3514.1
6142.5
7110",0,N/A,N/A,1,2013,2022,0,N/A,N/A,1,2001,2001,1,1994,1994,1,1994,1994,1,1996,1996,5,0,N/A,N/A,N/A,,,,,,0,1,0,0,1,"Escondido Union High School District Energy Conservation Website
Note: Energy Conservation Website has not been updated since 2018,
The Engineering and Design CTE has a 'green' course",0,0,0,1,"Green CTE,
On the energy conservation page it states that the district hired an energy specialist but  could not find anymore info"
San Diego,Fallbrook Union Elementary,Elementary School District,K-08,11,N/A,3,"Fallbrook
 Oceanside
San Clemente","4,921",249,"$20,140",75.55 %,63.5 %,30.9 %,3,1,2002,"32,000,000",38.6582,47,0,N/A,0,Fallbrook Union BP,"3510
3511
3511.1
3514
3514.1
7110",1,2011,2011,1,2011,2011,1,2012,2012,1,2011,2011,1,2013,2013,0,N/A,N/A,1,2011,2011,6,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Diego,Fallbrook Union High,High School District,09-12,3,N/A,1,Fallbrook,"2,128",102,"$19,268",71.99 %,71.2 %,18 %,1,1,2016,"45,000,000",24.5244,7,0,N/A,0,Fallbrook Union High BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2012,2022,1,2009,2022,1,2009,2009,1,2019,2022,1,1995,2022,1,2010,2010,1,1998,2012,7,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,Few Green CTEs ,0,0,0,1,"Sustainable Agriculture course in Ag CTE,
Green technology in Transportation CTE"
San Diego,Grossmont Union High,High School District,K-12,18,N/A,5,"El Cajon
La Mesa
Lakeside
Santee
Spring Valley","22,094",1040,"$19,390",48.4 %,59.1 %,12.6 %,4,3,2016,"819,000,000",39.777,50,0,N/A,0,Grossmont Union High BP,"3510
3511

3514
3514.1
6142.5
7110",1,2020,2020,1,2001,2022,0,N/A,N/A,1,2002,*,1,1993,*,1,1993,2007,1,2002,*,6,1,2009,2016,Grossmont FMP,,,,,,0,1,0,0,0,"Energy Conservation Page (Solar, lighting retrofits, energy storage batteries...),
Green CTE course,
Sustainability standards for bond measure",1,1,0,1,"Energy Manager,
Green CTE"
San Diego,JamulDulzura Union Elementary,Elementary School District,K-12,3,N/A,1,Jamul,728,35,"$18,248",43.27 %,46.2 %,19.20%,*,*,*,*,24.0932,5.9,0,N/A,0,Jamal Dulzura Union BP,"3510
3511
3511.1
3514
3514.1
6142.5
7110",1,2011,2020,1,2011,2020,1,2014,*,1,2011,*,1,2015,*,1,2011,*,1,2012,*,6,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,Some schools have educational gardens,0,0,0,0,N/A
San Diego,Julian Union Elementary,Elementary School District,K-12,8,N/A,3,"El Cajon
Encinitas
Julian","1,960",164,"$20,808",8.27 %,55.2 %,20.7 %,*,*,*,*,27.5216,13.01,0,N/A,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,N/A,N/A,N/A,,,,,,1,1,1,1,0,"There is a school garden/ outdoor classroom, 
District participates in FoodCorps ",0,0,0,0,N/A
San Diego,Julian Union High,High School District,09-12,1,N/A,1,Julian,96,10,"$47,723",50 %,47.9 %,5.2 %,1,1,2010,"2,100,000",27.5216,13.01,0,N/A,0,Julian Union BP ,"
3511
3511.1
3514
3514.1
7110",0,N/A,N/A,1,2017,*,1,2017,2021,1,2019,*,1,2019,*,0,N/A,N/A,1,2017,2023,5,0,N/A,N/A,N/A,,,,,,0,0,0,0,0,N/A,0,0,0,0,N/A
San Diego,Lakeside Union Elementary,Elementary School District,K-12,14,N/A,1,Lakeside,"4,854",263,"$15,563",41.43 %,36.2 %,7.8 %,3,2,2014,"110,550,000",42.5568,57.29,0,N/A,0,Lakeside Union BP,"3510
3511
3514
3514.1
6142.5
7110",1,2012,*,1,2012,*,0,N/A,N/A,1,2012,2018,1,2012,*,1,2012,*,1,2012,2018,6,1,2018,*,Lakeside Union FMP,,,,,,0,0,0,0,0,N/A,0,0,0,0,Lead Skilled Maintenance worker has energy conservation in job description
